UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №1",1,1807,1300,174,148,294,63,917,62,469,34,497,0,0,1,14,0.0264,48,0.0904,11,0.0207,408,0.7684,16,0.0301
"УИК №2",2,1525,1200,139,121,273,49,860,49,409,17,441,0,0,1,14,0.0306,44,0.0961,9,0.0197,361,0.7882,13,0.0284
"УИК №3",3,2378,1700,171,145,388,431,855,431,559,35,955,0,0,1,23,0.0232,62,0.0626,17,0.0172,839,0.8475,14,0.0141
"УИК №4",4,1096,800,144,136,180,48,564,48,324,11,361,0,0,1,9,0.0242,31,0.0833,8,0.0215,304,0.8172,9,0.0242
"УИК №5",5,2022,1500,189,165,319,77,1080,77,508,18,567,0,0,1,24,0.041,54,0.0923,23,0.0393,449,0.7675,17,0.0291
"УИК №6",6,1673,1300,160,138,300,26,952,26,428,25,429,0,0,1,14,0.0308,44,0.0969,11,0.0242,350,0.7709,10,0.022
"УИК №7",7,2289,1700,134,117,349,83,1251,83,466,22,527,0,0,1,21,0.0383,62,0.1129,18,0.0328,407,0.7413,19,0.0346
"УИК №8",8,1706,1300,226,183,1016,77,164,77,939,34,982,0,0,1,18,0.0177,44,0.0433,26,0.0256,871,0.8573,23,0.0226
"УИК №9",9,1722,1300,185,164,1143,15,121,15,1143,21,1137,0,0,1,8,0.0069,34,0.0294,7,0.006,1066,0.9206,22,0.019
"УИК №10",10,1802,1300,123,106,271,105,907,105,500,34,571,0,0,1,12,0.0198,49,0.081,11,0.0182,484,0.8,15,0.0248
"УИК №11",11,2220,1500,118,84,1097,286,83,80,1136,27,1189,0,0,1,20,0.0164,46,0.0378,4,0.0033,1103,0.9071,16,0.0132
"УИК №12",12,1039,800,127,112,131,50,604,50,258,10,298,0,0,1,7,0.0227,18,0.0584,7,0.0227,260,0.8442,6,0.0195
"УИК №13",13,2316,1600,135,103,299,9,1260,9,430,26,413,0,0,1,8,0.0182,64,0.1458,11,0.0251,320,0.7289,10,0.0228
"УИК №14",14,2357,1700,184,145,831,32,798,32,1015,29,1018,0,0,1,23,0.022,55,0.0525,12,0.0115,911,0.8701,17,0.0162
"УИК №15",15,2025,1300,102,72,746,242,282,242,848,37,1053,0,0,1,21,0.0193,42,0.0385,10,0.0092,957,0.878,23,0.0211
"УИК №16",16,1974,1500,142,97,317,75,1063,75,455,46,484,0,0,1,23,0.0434,40,0.0755,10,0.0189,393,0.7415,18,0.034
"УИК №17",17,1972,1500,87,59,332,10,1130,10,420,15,415,0,0,1,12,0.0279,55,0.1279,19,0.0442,309,0.7186,20,0.0465
"УИК №18",18,1769,1300,107,57,214,22,1014,22,313,17,318,0,0,1,7,0.0209,35,0.1045,12,0.0358,255,0.7612,9,0.0269
"УИК №19",19,1687,1300,108,66,249,66,943,66,353,30,389,0,0,1,11,0.0263,32,0.0764,7,0.0167,326,0.778,13,0.031
"УИК №20",20,1840,1400,105,54,225,81,1043,81,331,23,389,0,0,1,6,0.0146,34,0.0825,7,0.017,326,0.7913,16,0.0388
"УИК №21",21,1916,1400,124,61,345,29,963,29,440,31,438,0,0,1,20,0.0426,75,0.1599,20,0.0426,314,0.6695,9,0.0192
"УИК №22",22,2062,1400,131,75,623,251,470,251,810,41,1020,0,0,1,10,0.0094,251,0.2366,21,0.0198,723,0.6814,15,0.0141
"УИК №23",23,1415,1100,200,165,786,112,167,112,674,15,771,0,0,1,8,0.0102,38,0.0483,7,0.0089,713,0.9071,5,0.0064
"УИК №24",24,1918,1400,516,442,476,123,727,123,1112,18,1217,0,0,1,7,0.0057,47,0.0381,14,0.0113,1134,0.9182,15,0.0121
"УИК №25",25,2149,1600,454,404,424,147,979,147,777,24,900,0,0,1,36,0.039,55,0.0595,19,0.0206,765,0.8279,25,0.0271
"УИК №26",26,992,700,166,151,149,80,456,79,315,10,384,0,0,1,8,0.0203,20,0.0508,5,0.0127,346,0.8782,5,0.0127
"УИК №27",27,1541,1200,202,164,946,93,123,93,946,0,1039,0,0,1,7,0.0067,45,0.0433,18,0.0173,947,0.9115,22,0.0212
"УИК №28",28,1116,900,164,144,363,98,419,98,373,23,448,0,0,1,20,0.0425,38,0.0807,3,0.0064,377,0.8004,10,0.0212
"УИК №29",29,1973,1500,300,278,278,109,1091,109,578,26,661,0,0,1,11,0.016,45,0.0655,13,0.0189,578,0.8413,14,0.0204
"УИК №30",30,1583,1200,136,104,245,63,860,63,380,35,408,0,0,1,16,0.0361,44,0.0993,26,0.0587,311,0.702,11,0.0248
"УИК №31",31,1703,1100,359,205,436,83,427,83,793,29,847,0,0,1,19,0.0217,61,0.0696,34,0.0388,689,0.7865,44,0.0502
"УИК №32",32,2231,1600,238,151,511,90,912,90,659,25,724,0,0,1,31,0.0414,77,0.1028,26,0.0347,564,0.753,26,0.0347
"УИК №33",33,3073,2200,284,192,972,165,971,165,1256,50,1371,0,0,1,23,0.0162,81,0.057,15,0.0106,1219,0.8578,33,0.0232
"УИК №34",34,2054,1400,126,45,621,275,423,275,702,23,954,0,0,1,8,0.0082,40,0.0409,9,0.0092,881,0.9017,16,0.0164
"УИК №35",35,1181,900,139,112,383,67,423,67,522,13,576,0,0,1,15,0.0255,32,0.0543,14,0.0238,510,0.8659,5,0.0085
"УИК №36",36,2017,1500,283,247,509,78,877,78,714,20,772,0,0,1,13,0.0164,54,0.0682,17,0.0215,667,0.8422,21,0.0265
"УИК №37",37,1163,900,403,383,212,67,601,67,613,30,650,0,0,1,10,0.0147,27,0.0397,8,0.0118,597,0.8779,8,0.0118
"УИК №38",38,1967,1500,211,175,801,65,598,65,1010,23,1052,0,0,1,15,0.014,50,0.0465,17,0.0158,955,0.8884,15,0.014
"УИК №39",39,2182,1600,488,452,514,113,937,113,1000,32,1081,0,0,1,15,0.0135,49,0.044,9,0.0081,988,0.8877,20,0.018
"УИК №40",40,2238,1600,231,200,902,258,409,258,1133,28,1363,0,0,1,17,0.0122,48,0.0345,12,0.0086,1275,0.9166,11,0.0079
"УИК №41",41,999,800,103,93,238,45,507,45,341,12,374,0,0,1,5,0.013,9,0.0233,6,0.0155,350,0.9067,4,0.0104
"УИК №42",42,1958,1400,175,155,1259,90,31,90,1169,28,1231,0,0,1,16,0.0127,39,0.031,7,0.0056,1159,0.9206,10,0.0079
"УИК №43",43,2287,1300,624,562,503,16,719,16,1065,29,1052,0,0,1,17,0.0157,50,0.0463,27,0.025,935,0.8649,23,0.0213
"УИК №44",44,1754,1000,213,169,178,509,269,508,387,30,865,0,0,1,11,0.0123,31,0.0346,12,0.0134,797,0.8905,14,0.0156
"УИК №45",45,1986,1500,146,111,894,68,503,68,826,27,867,0,0,1,13,0.0145,36,0.0403,14,0.0157,794,0.8881,10,0.0112
"УИК №46",46,1895,1400,178,153,269,99,1007,99,447,8,538,0,0,1,15,0.0275,43,0.0788,9,0.0165,461,0.8443,10,0.0183
"УИК №47",47,2698,2000,300,276,325,14,1637,14,625,33,606,0,0,1,19,0.0297,46,0.072,13,0.0203,509,0.7966,19,0.0297
"УИК №48",48,1199,900,163,147,159,65,660,65,325,10,380,0,0,1,6,0.0154,33,0.0846,6,0.0154,322,0.8256,13,0.0333
"УИК №49",49,2080,1500,147,118,977,105,389,105,872,28,949,0,0,1,10,0.0102,55,0.0563,15,0.0154,845,0.8649,24,0.0246
"УИК №50",50,2581,1900,141,110,272,4,1593,4,413,28,389,0,0,1,11,0.0264,61,0.1463,9,0.0216,299,0.717,9,0.0216
"УИК №51",51,1825,1300,275,249,237,7,1030,7,512,14,505,0,0,1,15,0.0289,42,0.0809,11,0.0212,421,0.8112,16,0.0308
"УИК №52",52,1600,1200,202,169,562,12,593,12,719,26,705,0,0,1,11,0.015,52,0.0711,18,0.0246,613,0.8386,11,0.015
"УИК №53",53,2247,1700,181,114,846,72,715,72,1027,31,1068,0,0,1,8,0.0073,21,0.0191,7,0.0064,1014,0.9227,18,0.0164
"УИК №54",54,2482,1900,187,129,1427,115,300,115,1605,33,1687,0,0,1,15,0.0087,82,0.0477,11,0.0064,1557,0.9052,22,0.0128
"УИК №55",55,1354,900,166,125,184,186,489,186,350,21,515,0,0,1,7,0.0131,54,0.1007,9,0.0168,437,0.8153,8,0.0149
"УИК №56",56,2431,1700,216,145,405,48,1176,48,617,22,643,0,0,1,19,0.0286,51,0.0767,22,0.0331,533,0.8015,18,0.0271
"УИК №57",57,1644,1100,247,136,461,87,441,87,615,26,676,0,0,1,7,0.0099,44,0.0627,8,0.0114,602,0.8575,15,0.0214
"УИК №58",58,1369,1000,172,90,672,9,237,9,831,17,823,0,0,1,14,0.0167,38,0.0452,18,0.0214,742,0.8833,11,0.0131
"УИК №59",59,2201,1600,184,100,730,11,775,11,912,23,900,0,0,1,19,0.0206,48,0.052,11,0.0119,808,0.8754,14,0.0152
"УИК №60",60,1079,800,197,128,193,4,534,4,388,16,376,0,0,1,8,0.0204,40,0.102,3,0.0077,314,0.801,11,0.0281
"УИК №61",61,1829,1400,181,120,640,107,592,107,701,2,806,0,0,1,29,0.0359,53,0.0656,28,0.0347,679,0.8403,17,0.021
"УИК №63",63,312,300,0,0,0,298,2,0,298,5,293,0,0,1,3,0.0101,29,0.0973,4,0.0134,251,0.8423,6,0.0201
"УИК №104",104,1866,1100,512,321,353,6,550,6,863,23,846,0,0,2,11,0.0127,71,0.0817,14,0.0161,730,0.84,20,0.023
"УИК №105",105,2340,1600,117,95,268,9,1301,9,385,25,369,0,0,2,16,0.0406,44,0.1117,14,0.0355,279,0.7081,16,0.0406
"УИК №106",106,1745,1100,85,67,270,9,803,9,355,31,333,0,0,2,10,0.0275,47,0.1291,7,0.0192,244,0.6703,25,0.0687
"УИК №107",107,1650,1100,69,50,231,2,848,2,299,28,273,0,0,2,9,0.0299,42,0.1395,5,0.0166,206,0.6844,11,0.0365
"УИК №108",108,1819,1100,60,40,689,1,390,1,747,15,733,0,0,2,8,0.0107,29,0.0388,11,0.0147,677,0.9051,8,0.0107
"УИК №109",109,1891,1100,80,62,375,8,699,8,455,32,431,0,0,2,16,0.0346,40,0.0864,20,0.0432,331,0.7149,24,0.0518
"УИК №110",110,1853,1100,79,65,236,10,840,10,313,16,307,0,0,2,13,0.0402,46,0.1424,16,0.0495,221,0.6842,11,0.0341
"УИК №111",111,1801,1100,72,56,176,7,901,7,248,16,239,0,0,2,13,0.051,38,0.149,10,0.0392,172,0.6745,6,0.0235
"УИК №112",112,2003,1100,106,87,634,3,444,3,740,41,702,0,0,2,26,0.035,53,0.0713,12,0.0162,595,0.8008,16,0.0215
"УИК №113",113,1877,1100,67,58,636,23,432,23,703,47,679,0,0,2,10,0.0138,30,0.0413,11,0.0152,616,0.8485,12,0.0165
"УИК №114",114,1619,1100,235,80,397,43,505,43,632,46,629,0,0,2,24,0.0356,59,0.0874,30,0.0444,488,0.723,28,0.0415
"УИК №115",115,2536,1600,163,130,690,24,853,24,853,41,836,0,0,2,7,0.008,76,0.0867,13,0.0148,717,0.8176,23,0.0262
"УИК №116",116,2744,1500,115,90,896,11,568,11,1011,54,968,0,0,2,16,0.0157,59,0.0577,13,0.0127,865,0.8464,15,0.0147
"УИК №117",117,2126,1100,93,75,721,14,347,14,814,37,791,0,0,2,60,0.0725,85,0.1027,70,0.0845,514,0.6208,62,0.0749
"УИК №118",118,1869,1100,56,47,181,108,802,108,236,14,330,0,0,2,3,0.0087,40,0.1163,4,0.0116,268,0.7791,15,0.0436
"УИК №119",119,2314,1600,100,68,336,257,975,257,436,51,642,0,0,2,31,0.0447,67,0.0967,9,0.013,519,0.7489,16,0.0231
"УИК №120",120,1902,1100,98,73,639,6,430,6,737,25,718,0,0,2,11,0.0148,51,0.0686,8,0.0108,627,0.8439,21,0.0283
"УИК №121",121,1826,1100,138,118,594,9,477,9,732,64,677,0,0,2,28,0.0378,74,0.0999,8,0.0108,549,0.7409,18,0.0243
"УИК №122",122,1687,1100,171,138,248,6,813,6,419,22,403,0,0,2,13,0.0306,54,0.1271,11,0.0259,316,0.7435,9,0.0212
"УИК №123",123,1845,1100,87,67,741,8,331,8,828,44,792,0,0,2,68,0.0813,76,0.0909,62,0.0742,557,0.6663,29,0.0347
"УИК №124",124,2219,1600,150,129,730,9,840,9,880,40,849,0,0,2,25,0.0281,65,0.0731,28,0.0315,691,0.7773,40,0.045
"УИК №125",125,1944,1100,168,142,296,6,772,6,463,35,434,0,0,2,22,0.0469,57,0.1215,8,0.0171,331,0.7058,16,0.0341
"УИК №126",126,1688,1100,119,80,226,1,834,1,345,15,331,0,0,2,11,0.0318,45,0.1301,8,0.0231,256,0.7399,11,0.0318
"УИК №127",127,1821,1100,69,52,304,98,681,98,370,42,426,0,0,2,15,0.0321,31,0.0662,4,0.0085,369,0.7885,7,0.015
"УИК №128",128,2006,1100,87,66,574,9,496,9,661,26,644,0,0,2,19,0.0284,50,0.0746,16,0.0239,545,0.8134,14,0.0209
"УИК №129",129,1870,1100,88,58,478,1,591,1,566,28,539,0,0,2,5,0.0088,30,0.0529,6,0.0106,493,0.8695,5,0.0088
"УИК №130",130,2163,1600,107,82,260,5,1310,5,366,29,342,0,0,2,8,0.0216,52,0.1402,9,0.0243,247,0.6658,26,0.0701
"УИК №131",131,922,600,27,19,93,3,496,3,120,10,113,0,0,2,9,0.0732,18,0.1463,3,0.0244,77,0.626,6,0.0488
"УИК №132",132,2165,1600,115,71,711,11,834,11,824,46,789,0,0,2,21,0.0251,71,0.085,16,0.0192,669,0.8012,12,0.0144
"УИК №133",133,2139,1600,148,97,667,20,862,20,815,48,787,0,0,2,62,0.0743,86,0.103,51,0.0611,538,0.6443,50,0.0599
"УИК №134",134,2075,2050,644,196,363,6,1233,6,996,24,978,0,0,2,22,0.022,72,0.0719,25,0.025,809,0.8074,50,0.0499
"УИК №135",135,2328,1600,164,102,315,10,1213,10,475,37,448,0,0,2,21,0.0433,72,0.1485,12,0.0247,321,0.6619,22,0.0454
"УИК №136",136,1902,1100,121,69,623,9,416,9,744,45,708,0,0,2,66,0.0876,122,0.162,60,0.0797,392,0.5206,68,0.0903
"УИК №137",137,1309,600,94,44,380,6,164,6,471,12,465,0,0,2,9,0.0189,38,0.0797,1,0.0021,411,0.8616,6,0.0126
"УИК №138",138,2535,1600,114,84,338,0,1232,0,452,41,411,0,0,2,23,0.0509,77,0.1704,15,0.0332,275,0.6084,21,0.0465
"УИК №139",139,1786,1100,98,51,446,5,602,5,542,30,517,0,0,2,29,0.053,62,0.1133,15,0.0274,373,0.6819,38,0.0695
"УИК №140",140,1762,1100,90,53,504,12,547,12,594,34,572,0,0,2,10,0.0165,57,0.0941,19,0.0314,464,0.7657,22,0.0363
"УИК №141",141,1980,1100,91,56,515,5,545,5,571,20,556,0,0,2,12,0.0208,35,0.0608,20,0.0347,470,0.816,19,0.033
"УИК №142",142,1899,1100,62,46,674,6,404,6,736,31,711,0,0,2,50,0.0674,113,0.1523,44,0.0593,441,0.5943,63,0.0849
"УИК №143",143,1337,1000,88,43,420,8,527,8,508,26,490,0,0,2,15,0.0291,23,0.0446,8,0.0155,434,0.8411,10,0.0194
"УИК №144",144,1757,1100,142,89,304,14,729,14,444,27,431,0,0,2,13,0.0284,49,0.107,8,0.0175,354,0.7729,7,0.0153
"УИК №145",145,2699,1600,130,54,344,3,1177,3,465,42,426,0,0,2,20,0.0427,63,0.1346,16,0.0342,305,0.6517,22,0.047
"УИК №146",146,1780,1100,63,50,158,0,929,0,220,18,202,0,0,2,3,0.0136,26,0.1182,12,0.0545,157,0.7136,4,0.0182
"УИК №147",147,2103,1100,98,71,351,6,716,6,447,31,422,0,0,2,15,0.0331,61,0.1347,12,0.0265,313,0.6909,21,0.0464
"УИК №148",148,2522,1600,86,50,842,7,715,7,928,46,889,0,0,2,49,0.0524,96,0.1027,49,0.0524,641,0.6856,54,0.0578
"УИК №149",149,1964,1100,109,71,656,14,392,0,779,34,745,0,0,2,30,0.0385,59,0.0757,42,0.0539,585,0.751,29,0.0372
"УИК №150",150,1744,1100,84,56,318,9,745,9,397,49,357,0,0,2,9,0.0222,51,0.1256,8,0.0197,266,0.6552,23,0.0567
"УИК №151",151,2230,1600,164,121,426,11,1120,11,569,40,540,0,0,2,18,0.031,52,0.0897,18,0.031,433,0.7466,19,0.0328
"УИК №152",152,2004,1100,124,98,329,6,739,6,445,28,423,0,0,2,20,0.0443,56,0.1242,18,0.0399,309,0.6851,20,0.0443
"УИК №153",153,2395,1600,110,66,803,11,742,11,913,31,893,0,0,2,25,0.0271,80,0.0866,20,0.0216,714,0.7727,54,0.0584
"УИК №154",154,1894,1100,81,40,396,8,655,8,396,26,378,0,0,2,14,0.0347,63,0.1559,6,0.0149,282,0.698,13,0.0322
"УИК №155",155,1179,900,49,38,169,5,715,5,217,16,206,0,0,2,6,0.027,29,0.1306,5,0.0225,155,0.6982,11,0.0495
"УИК №156",156,2437,1700,92,58,393,2,1271,2,478,35,445,0,0,2,17,0.0354,61,0.1271,11,0.0229,339,0.7063,17,0.0354
"УИК №157",157,1562,1200,107,61,408,3,743,3,515,28,490,0,0,2,15,0.029,86,0.166,7,0.0135,353,0.6815,29,0.056
"УИК №158",158,665,500,40,15,128,0,347,0,168,7,161,0,0,2,4,0.0238,34,0.2024,6,0.0357,117,0.6964,0,0
"УИК №159",159,1828,1100,76,53,634,4,439,4,710,42,672,0,0,2,9,0.0126,48,0.0672,17,0.0238,589,0.8249,9,0.0126
"УИК №160",160,1933,1100,83,49,336,5,725,5,419,43,381,0,0,2,8,0.0189,71,0.1675,14,0.033,275,0.6486,13,0.0307
"УИК №161",161,1904,1100,97,72,351,12,712,12,448,23,437,0,0,2,18,0.0391,60,0.1304,12,0.0261,329,0.7152,18,0.0391
"УИК №162",162,1757,1100,76,38,606,4,452,4,682,40,646,0,0,2,14,0.0204,64,0.0933,9,0.0131,545,0.7945,14,0.0204
"УИК №163",163,1394,1100,70,41,443,8,620,8,513,28,493,0,0,2,15,0.0288,63,0.1209,25,0.048,344,0.6603,46,0.0883
"УИК №164",164,1943,1100,120,64,502,10,532,10,622,37,595,0,0,2,30,0.0475,80,0.1266,32,0.0506,417,0.6598,36,0.057
"УИК №165",165,1989,1100,98,81,496,7,580,7,592,35,564,0,0,2,13,0.0217,65,0.1085,9,0.015,460,0.7679,17,0.0284
"УИК №166",166,2007,1100,91,60,344,3,722,3,437,43,397,0,0,2,12,0.0273,59,0.1341,14,0.0318,286,0.65,26,0.0591
"УИК №167",167,1992,1100,54,12,249,1,808,1,297,31,267,0,0,2,17,0.057,42,0.1409,9,0.0302,189,0.6342,10,0.0336
"УИК №168",168,2599,1700,67,33,315,1,1350,1,380,36,345,0,0,2,18,0.0472,53,0.1391,13,0.0341,242,0.6352,19,0.0499
"УИК №169",169,1630,1100,98,56,291,2,765,2,384,22,364,0,0,2,13,0.0337,45,0.1166,14,0.0363,281,0.728,11,0.0285
"УИК №170",170,2430,1600,117,73,465,4,1087,4,581,45,540,0,0,2,19,0.0325,74,0.1265,18,0.0308,398,0.6803,31,0.053
"УИК №171",171,1729,1200,105,76,310,2,859,2,414,34,382,0,0,2,10,0.024,52,0.125,11,0.0264,293,0.7043,16,0.0385
"УИК №172",172,2255,1100,74,49,587,4,484,4,661,55,610,0,0,2,41,0.0617,94,0.1414,39,0.0586,391,0.588,45,0.0677
"УИК №173",173,2113,1100,109,81,377,9,686,9,485,52,442,0,0,2,11,0.0223,89,0.1802,12,0.0243,308,0.6235,22,0.0445
"УИК №174",174,2143,1100,81,52,406,5,660,5,487,45,447,0,0,2,15,0.0305,90,0.1829,12,0.0244,297,0.6037,33,0.0671
"УИК №175",175,2032,1100,68,47,709,7,363,7,777,31,753,0,0,2,46,0.0587,104,0.1327,43,0.0548,515,0.6569,45,0.0574
"УИК №176",176,2403,1600,92,69,740,24,813,24,832,44,812,0,0,2,12,0.014,50,0.0584,17,0.0199,714,0.8341,19,0.0222
"УИК №177",177,2246,1600,91,55,784,19,761,19,875,47,847,0,0,2,25,0.028,91,0.1018,15,0.0168,692,0.774,24,0.0268
"УИК №178",178,2201,1600,98,39,780,13,748,13,878,40,851,0,0,2,67,0.0752,61,0.0685,69,0.0774,584,0.6554,70,0.0786
"УИК №179",179,2465,1600,89,69,309,2,1269,2,397,20,379,0,0,2,12,0.0301,63,0.1579,13,0.0326,269,0.6742,22,0.0551
"УИК №180",180,2500,2400,0,0,2359,0,41,0,2359,0,2359,0,0,2,28,0.0119,34,0.0144,27,0.0114,2237,0.9483,33,0.014
"УИК №181",181,2700,2700,0,0,2637,0,63,0,2637,0,2637,0,0,2,37,0.014,29,0.011,38,0.0144,2468,0.9359,65,0.0246
"УИК №576",576,1948,1400,87,23,284,16,1036,16,371,19,368,0,0,3,13,0.0336,64,0.1654,10,0.0258,265,0.6848,16,0.0413
"УИК №577",577,1844,1400,134,63,299,40,990,40,434,21,453,0,0,3,14,0.0295,50,0.1055,11,0.0232,353,0.7447,25,0.0527
"УИК №578",578,1738,1300,178,73,205,3,987,3,383,13,373,0,0,3,13,0.0337,38,0.0984,9,0.0233,304,0.7876,9,0.0233
"УИК №579",579,1843,1300,200,80,293,7,880,7,483,18,472,0,0,3,13,0.0265,60,0.1224,12,0.0245,373,0.7612,14,0.0286
"УИК №580",580,2245,1600,109,39,313,12,1205,12,422,23,411,0,0,3,8,0.0184,68,0.1567,6,0.0138,311,0.7166,18,0.0415
"УИК №581",581,2015,1500,109,37,328,9,1091,9,437,25,421,0,0,3,16,0.0359,53,0.1188,17,0.0381,316,0.7085,19,0.0426
"УИК №582",582,1510,1100,70,29,294,3,762,3,359,17,345,0,0,3,6,0.0166,52,0.1436,13,0.0359,264,0.7293,10,0.0276
"УИК №583",583,2712,2000,128,66,334,8,1596,8,458,27,439,0,0,3,15,0.0322,67,0.1438,18,0.0386,322,0.691,17,0.0365
"УИК №584",584,2298,1600,116,55,293,4,1242,4,406,21,389,0,0,3,7,0.0171,44,0.1073,11,0.0268,311,0.7585,16,0.039
"УИК №585",585,1950,1400,112,54,322,3,1017,3,434,27,410,0,0,3,15,0.0343,50,0.1144,13,0.0297,313,0.7162,19,0.0435
"УИК №586",586,1577,1100,86,38,232,2,818,2,318,14,306,0,0,3,12,0.0375,53,0.1656,10,0.0313,220,0.6875,11,0.0344
"УИК №587",587,2277,1600,111,33,328,3,1191,3,439,24,418,0,0,3,9,0.0204,84,0.19,18,0.0407,295,0.6674,12,0.0271
"УИК №588",588,1844,1300,37,2,361,4,900,4,401,27,378,0,0,3,15,0.037,52,0.1284,14,0.0346,286,0.7062,11,0.0272
"УИК №589",589,1998,1600,62,4,371,2,1169,2,430,20,412,0,0,3,18,0.0417,47,0.1088,22,0.0509,307,0.7106,18,0.0417
"УИК №590",590,1347,1000,52,3,303,1,647,1,301,20,282,0,0,3,6,0.0199,50,0.1656,16,0.053,195,0.6457,15,0.0497
"УИК №591",591,2151,1400,121,8,479,7,801,7,597,29,575,0,0,3,18,0.0298,79,0.1308,12,0.0199,447,0.7401,19,0.0315
"УИК №592",592,1480,1100,33,8,178,3,894,3,211,17,197,0,0,3,7,0.0327,26,0.1215,6,0.028,142,0.6636,16,0.0748
"УИК №593",593,2473,1800,40,14,342,8,1424,8,382,23,367,0,0,3,11,0.0282,60,0.1538,14,0.0359,263,0.6744,19,0.0487
"УИК №594",594,1554,1100,36,11,217,1,857,1,253,20,234,0,0,3,14,0.0551,51,0.2008,9,0.0354,152,0.5984,8,0.0315
"УИК №595",595,1405,1000,31,7,207,4,765,4,238,15,227,0,0,3,11,0.0455,43,0.1777,8,0.0331,154,0.6364,11,0.0455
"УИК №596",596,1784,1300,49,17,276,4,988,4,325,24,305,0,0,3,15,0.0456,53,0.1611,6,0.0182,210,0.6383,21,0.0638
"УИК №597",597,2073,1500,48,12,285,5,1174,5,332,22,315,0,0,3,10,0.0297,40,0.1187,15,0.0445,231,0.6855,19,0.0564
"УИК №598",598,2451,1800,71,13,353,5,1384,5,423,19,409,0,0,3,10,0.0234,74,0.1729,9,0.021,304,0.7103,12,0.028
"УИК №599",599,1439,1100,51,10,203,5,851,5,254,17,242,0,0,3,1,0.0039,37,0.1429,10,0.0386,186,0.7181,8,0.0309
"УИК №600",600,1123,800,30,9,164,3,612,3,194,24,173,0,0,3,5,0.0254,25,0.1269,10,0.0508,122,0.6193,11,0.0558
"УИК №601",601,1603,1200,37,4,194,2,971,2,231,16,217,0,0,3,10,0.0429,36,0.1545,5,0.0215,155,0.6652,11,0.0472
"УИК №602",602,1849,1300,38,9,281,25,965,25,319,17,327,0,0,3,6,0.0174,42,0.1221,8,0.0233,264,0.7674,7,0.0203
"УИК №603",603,2164,1600,53,14,349,6,1206,6,402,29,379,0,0,3,12,0.0294,64,0.1569,9,0.0221,282,0.6912,12,0.0294
"УИК №604",604,2510,1800,54,15,431,17,1313,17,484,23,478,0,0,3,11,0.022,97,0.1936,14,0.0279,335,0.6687,21,0.0419
"УИК №605",605,2257,1600,68,15,400,7,1140,7,468,37,438,0,0,3,10,0.0211,71,0.1495,16,0.0337,314,0.6611,27,0.0568
"УИК №606",606,1573,1100,40,12,292,3,777,3,331,25,309,0,0,3,10,0.0299,51,0.1527,11,0.0329,223,0.6677,14,0.0419
"УИК №607",607,1805,1300,48,9,241,4,1016,4,289,13,280,0,0,3,10,0.0341,61,0.2082,11,0.0375,186,0.6348,12,0.041
"УИК №608",608,1779,1300,37,14,254,5,1018,5,290,23,272,0,0,3,9,0.0305,42,0.1424,5,0.0169,204,0.6915,12,0.0407
"УИК №609",609,1870,1400,68,9,259,8,1074,8,327,24,311,0,0,3,5,0.0149,69,0.206,14,0.0418,214,0.6388,9,0.0269
"УИК №610",610,1663,1200,40,7,253,2,912,2,293,24,271,0,0,3,7,0.0237,46,0.1559,21,0.0712,180,0.6102,17,0.0576
"УИК №611",611,1998,1500,155,39,265,3,1116,3,419,15,407,0,0,3,19,0.045,45,0.1066,4,0.0095,322,0.763,17,0.0403
"УИК №612",612,1824,1300,148,36,300,5,883,5,548,15,538,0,0,3,6,0.0108,39,0.0705,6,0.0108,479,0.8662,8,0.0145
"УИК №613",613,1736,1300,160,41,246,9,926,9,406,20,395,0,0,3,18,0.0434,48,0.1157,6,0.0145,309,0.7446,14,0.0337
"УИК №614",614,1754,1300,163,33,366,6,798,6,366,22,350,0,0,3,5,0.0134,65,0.1747,17,0.0457,250,0.672,13,0.0349
"УИК №615",615,1580,1200,108,27,212,3,904,3,320,16,307,0,0,3,9,0.0279,48,0.1486,6,0.0186,230,0.7121,14,0.0433
"УИК №616",616,2494,1800,205,39,433,15,1186,15,853,22,846,0,0,3,7,0.0081,21,0.0242,4,0.0046,803,0.9251,11,0.0127
"УИК №617",617,2601,1900,272,54,496,9,1177,9,768,24,753,0,0,3,14,0.018,75,0.0965,14,0.018,613,0.7889,37,0.0476
"УИК №618",618,2130,1500,123,18,314,4,1077,4,434,20,418,0,0,3,12,0.0274,61,0.1393,13,0.0297,307,0.7009,25,0.0571
"УИК №619",619,2329,1700,182,42,538,7,1015,7,719,16,710,0,0,3,12,0.0165,80,0.1102,22,0.0303,582,0.8017,14,0.0193
"УИК №620",620,2685,2000,135,47,549,6,1357,6,538,20,524,0,0,3,22,0.0404,56,0.1029,11,0.0202,420,0.7721,15,0.0276
