UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №1567",1567,1678,1200,184,153,714,9,446,9,897,28,878,0,0,24,8,0.0088,36,0.0397,7,0.0077,805,0.8885,22,0.0243
"УИК №1568",1568,1646,1200,185,152,644,26,497,26,644,21,649,0,0,24,10,0.0149,35,0.0522,11,0.0164,579,0.8642,14,0.0209
"УИК №1569",1569,2299,1600,246,205,402,4,1153,4,645,30,619,0,0,24,16,0.0247,67,0.1032,19,0.0293,484,0.7458,33,0.0508
"УИК №1570",1570,2041,1500,249,221,344,7,1121,7,589,22,574,0,0,24,11,0.0185,55,0.0923,10,0.0168,481,0.807,17,0.0285
"УИК №1571",1571,2202,1600,274,224,351,6,1193,6,625,23,608,0,0,24,9,0.0143,64,0.1014,19,0.0301,500,0.7924,16,0.0254
"УИК №1572",1572,2465,1700,292,259,861,5,801,5,1153,16,1142,0,0,24,14,0.0121,52,0.0449,25,0.0216,1024,0.8843,27,0.0233
"УИК №1573",1573,2273,1600,312,261,472,7,1070,7,790,30,767,0,0,24,15,0.0188,79,0.0991,11,0.0138,649,0.8143,13,0.0163
"УИК №1574",1574,1786,1300,251,213,316,9,937,9,567,10,566,0,0,24,6,0.0104,57,0.099,9,0.0156,476,0.8264,18,0.0313
"УИК №1575",1575,1689,1200,205,175,295,2,873,1,500,24,477,0,0,24,7,0.014,49,0.0978,6,0.012,404,0.8064,11,0.022
"УИК №1576",1576,2005,1400,210,180,295,4,1071,4,507,0,511,0,0,24,10,0.0196,46,0.09,14,0.0274,427,0.8356,14,0.0274
"УИК №1577",1577,2127,1500,194,169,385,32,1058,31,579,23,587,0,0,24,15,0.0246,65,0.1066,12,0.0197,466,0.7639,29,0.0475
"УИК №1578",1578,1879,1300,159,127,259,9,1000,9,416,10,415,0,0,24,11,0.0259,45,0.1059,8,0.0188,335,0.7882,16,0.0376
"УИК №1579",1579,1881,1300,228,202,335,12,927,12,561,8,565,0,0,24,8,0.014,55,0.096,15,0.0262,470,0.8202,17,0.0297
"УИК №1580",1580,1433,1000,179,154,283,3,689,3,462,15,450,0,0,24,8,0.0172,44,0.0946,12,0.0258,375,0.8065,11,0.0237
"УИК №1581",1581,1758,1300,217,184,285,9,973,9,501,16,494,0,0,24,4,0.0078,56,0.1098,8,0.0157,415,0.8137,11,0.0216
"УИК №1582",1582,1616,1200,135,105,212,7,951,7,347,11,343,0,0,24,4,0.0113,45,0.1271,4,0.0113,276,0.7797,14,0.0395
"УИК №1583",1583,2316,1600,120,82,1242,10,310,10,1283,30,1263,0,0,24,9,0.007,57,0.0441,6,0.0046,1170,0.9049,21,0.0162
"УИК №1584",1584,2276,1600,216,182,922,8,636,8,1138,21,1125,0,0,24,17,0.0148,59,0.0515,17,0.0148,1008,0.8796,24,0.0209
"УИК №1585",1585,2170,1500,108,73,802,1,662,1,908,35,874,0,0,24,12,0.0132,36,0.0396,12,0.0132,799,0.879,15,0.0165
"УИК №1586",1586,2968,2100,195,154,373,7,1679,7,566,24,549,0,0,24,16,0.0279,67,0.1169,14,0.0244,438,0.7644,14,0.0244
"УИК №1587",1587,2110,1500,185,137,773,12,667,12,958,20,950,0,0,24,8,0.0082,39,0.0402,8,0.0082,876,0.9031,19,0.0196
"УИК №1588",1588,2473,1800,142,92,994,1,755,1,1136,8,1129,0,0,24,8,0.007,71,0.0624,16,0.0141,1020,0.8971,14,0.0123
"УИК №1589",1589,2316,1700,176,115,836,7,796,7,1012,20,999,0,0,24,8,0.0079,65,0.0638,9,0.0088,896,0.8793,21,0.0206
"УИК №1590",1590,2196,1600,187,149,840,5,717,5,1027,21,1011,0,0,24,17,0.0165,65,0.063,3,0.0029,861,0.8343,65,0.063
"УИК №1591",1591,2337,1700,185,128,909,4,730,4,1094,16,1082,0,0,24,9,0.0082,86,0.0783,12,0.0109,947,0.8625,28,0.0255
"УИК №1592",1592,2164,1600,150,101,269,4,1278,4,417,19,402,0,0,24,10,0.0238,49,0.1164,4,0.0095,325,0.772,14,0.0333
"УИК №1593",1593,2226,1600,224,187,286,11,1266,11,508,15,504,0,0,24,12,0.0231,53,0.1021,11,0.0212,417,0.8035,11,0.0212
"УИК №1594",1594,2315,1700,187,149,260,9,1393,9,447,15,441,0,0,24,6,0.0132,46,0.1009,8,0.0175,370,0.8114,11,0.0241
"УИК №1595",1595,2275,1600,252,195,745,4,794,4,997,25,976,0,0,24,13,0.013,74,0.0739,22,0.022,845,0.8442,22,0.022
"УИК №1596",1596,2301,1600,187,155,816,9,743,9,1003,18,994,0,0,24,13,0.0128,70,0.0692,17,0.0168,878,0.8676,16,0.0158
"УИК №1597",1597,2345,1700,125,78,903,3,747,3,1028,25,1006,0,0,24,17,0.0165,62,0.0601,9,0.0087,900,0.8729,18,0.0175
"УИК №1598",1598,2119,1500,221,181,345,7,1108,7,566,20,553,0,0,24,10,0.0175,41,0.0716,15,0.0262,474,0.8272,13,0.0227
"УИК №1599",1599,2260,1600,213,177,1133,8,423,8,1346,10,1344,0,0,24,161,0.1189,196,0.1448,165,0.1219,651,0.4808,171,0.1263
"УИК №1600",1600,2124,1500,156,112,1072,5,379,5,1067,20,1052,0,0,24,15,0.014,60,0.056,12,0.0112,950,0.8862,15,0.014
"УИК №1601",1601,2074,1500,176,138,359,1,1102,1,534,18,517,0,0,24,8,0.015,53,0.0991,15,0.028,422,0.7888,19,0.0355
"УИК №1602",1602,2506,1800,228,173,1203,7,535,7,1265,18,1254,0,0,24,19,0.0149,73,0.0574,11,0.0086,1138,0.8947,13,0.0102
